id,salePointName
102,ДО «Садовый-Триумфальный» Филиала № 7701 Банка ВТБ (ПАО)
122,"ДО «Тверская, 8» Филиала № 7701 Банка ВТБ (ПАО)"
126,"ДО «Тверская,13» Филиала № 7701 Банка ВТБ (ПАО)"
134,ДО «Георгиевский» Филиала № 7701 Банка ВТБ (ПАО)
135,ДО «Охотный ряд-Прайм» Филиала № 7777 Банка ВТБ (ПАО)
110,ДО «Неглинный» Филиала № 7701 Банка ВТБ (ПАО)
111,ДО «Совет Федерации» Филиала № 7701 Банка ВТБ (ПАО)
123,ДО ЦИК «Пушечный» Филиала № 7701 Банка ВТБ (ПАО)
130,ДО «Тверской» Филиала № 7701 Банка ВТБ (ПАО)
95,ДО «Оружейный» Филиала № 7701 Банка ВТБ (ПАО)
104,ДО «Цветной бульвар» Филиала № 7701 Банка ВТБ (ПАО)
